child_value,danaos_co_code,database,company,short_name,name,managed_by,company_group,chart,company_type,base_currency,remarks,group_flag_1,group_flag_2,official_currency,global_vessel_id,create_intercompanies,is_filing,active_flag,company_level,bank_ledger,group_details_from,group_details_to,tonnage_tax_from,tonnage_tax_to,vat_group_from,vat_group_to,incexp_managed_by
6186,2173,,2173,HULL S992,HULL S992,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6187,2195,,2195,HULL 3163,HULL 3163,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6188,2198,,2198,HULL 3164,HULL 3164,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
5636,2181,,2181,PACIFIC JADE,PACIFIC JADE,13,C,C,V,USD,"Ex Hull S-1692. Vsl delivered on 31 Jan 2020, 1010 LT, 0110 GMT,  with simultaneous sale & BB Chtr back to EPC (17) ",1,1,USD,,Y,Y,Y,0,,,,,,,,
5668,2181,,2181,PACIFIC JADE,PACIFIC JADE,13,C,C,V,USD,"Ex Hull S-1692. Vsl delivered on 31 Jan 2020, 1010 LT, 0110 GMT,  with simultaneous sale & BB Chtr back to EPC (17) ",1,1,USD,,Y,Y,Y,0,,,,,,,,
6194,2034,,2034,MSC ISTANBUL,MSC ISTANBUL,13,X,C,V,USD,"Ex STX Hull S-1529. delivered fm Builder STX in Goseong, Korea at 02:00 Hours UTC (11:00 Hours LT)",1,1,USD,,Y,Y,Y,0,,,,,,,,
6195,2175,,2175,HULL S993,HULL S993,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6196,2076,,2076,HYUNDAI LOYALTY,HYUNDAI LOYALTY,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6199,2039,,2039,MSC DYMPHNA,MSC DYMPHNA,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6202,2040,,2040,MSC SAMANTHA,MSC SAMANTHA,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6204,2176,,2176,HULL S994,HULL S994,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6205,2080,,2080,LESOTHO,LESOTHO,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6207,2161,,2161,CMA CGM PANAMA,CMA CGM PANAMA,13,X,C,V,USD,"Ex Hull S987. Vsl delivered on 24/9/19 1400 LT, 0600 GMT",1,1,USD,,Y,Y,Y,0,,,,,,,,
6208,2017,,2017,OSAKA TOWER,OSAKA TOWER,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6209,2078,,2078,HYUNDAI NEW YORK,HYUNDAI NEW YORK,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6211,2199,,2199,HULL 3165,HULL 3165,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6212,2025,,2025,CHESAPEAKE BAY,CHESAPEAKE BAY,13,X,C,V,USD,Name change from Thuringia to Chesapeake Bay wef 13/10/19. Ex Thuringia Express,1,1,USD,,Y,Y,Y,0,,,,,,,,
6213,2029,,2029,CAP ARNAUTI,CAP ARNAUTI,13,X,C,V,USD,Ex HANJIN SUBIC HULL PN 082,1,1,USD,,Y,Y,Y,0,,,,,,,,
6214,2200,,2200,HULL 3166,HULL 3166,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6215,2162,,2162,CMA CGM CHILE,CMA CGM CHILE,13,X,C,V,USD,Ex Hull S988. Vsl delivered on 20/12/19 1330 hrs LT,1,1,USD,,Y,Y,Y,0,,,,,,,,
