child_value,child_description,parent1,parent1_description,parent2,parent2_description,parent3,parent3_descriptin,parent4,parent4_description,parent5,parent5_description,parent6,parent6_description,parent7,parent7_description,parent8,parent8_description,parent9,parent9_description,le,danaos_co_code,database
4372,SOUTH AMERICAN TANKER COMPANY NAVEGACAO S.A.,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,UK-LE,52,
4401,ANAEL COMPANY LIMITED,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4390,EMBASSY TRADING CORP.-HOLDING COMPANY,4380,KEZLET PROPERTIES HOLDING LTD.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4402,EASTERN PACIFIC PROPERTIES VARNA LTD.,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4400,ANAEL COMPANY LIMITED-HOLDING COMPANY,4390,EMBASSY TRADING CORP.-HOLDING COMPANY,4380,KEZLET PROPERTIES HOLDING LTD.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4421,QPS NOBLE HOLDINGS LTD,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4422,QPS ARGON LTD ,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4423,QPS NEON LTD ,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4424,QPS RADON LTD ,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4425,QPS XENON LTD ,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4426,QPS KRYPTON LTD ,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4420,QPS NOBLE HOLDINGS LTD-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4471,WOODS MARITIME INC.,4470,WOODS MARITIME INC.-HOLDING COMPANY,4470,WOODS MARITIME INC.-HOLDING COMPANY,4470,WOODS MARITIME INC.-HOLDING COMPANY,4470,WOODS MARITIME INC.-HOLDING COMPANY,4470,WOODS MARITIME INC.-HOLDING COMPANY,4470,WOODS MARITIME INC.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,UK-LE,none,
